image_path,type,body_part,temperature,image_name,instance,evaluate
Datasets/ThermEval/double/Thermal_202.JPG,double_left,chest,30.939506172839508,Thermal_202.JPG,double,left
Datasets/ThermEval/double/Thermal_24.JPG,double_right,chest,32.85365418894831,Thermal_24.JPG,double,right
Datasets/ThermEval/single/Thermal_162.JPG,single,chest,33.07051796931315,Thermal_162.JPG,single,evaluate
Datasets/ThermEval/double/Thermal_229.JPG,double_right,forehead,34.319813519813515,Thermal_229.JPG,double,right
Datasets/ThermEval/single/Thermal_167.JPG,single,chest,31.91162876008804,Thermal_167.JPG,single,evaluate
Datasets/ThermEval/double/Thermal_1.JPG,double_right,forehead,31.340669856459325,Thermal_1.JPG,double,right
Datasets/ThermEval/double/Thermal_24.JPG,double_left,chest,33.26738562091503,Thermal_24.JPG,double,left
Datasets/ThermEval/single/Thermal_61.JPG,single,forehead,31.43367346938776,Thermal_61.JPG,single,evaluate
Datasets/ThermEval/single/Thermal_156.JPG,single,forehead,34.14444444444444,Thermal_156.JPG,single,evaluate
Datasets/ThermEval/double/Thermal_105.JPG,double_right,forehead,31.993939393939392,Thermal_105.JPG,double,right
Datasets/ThermEval/double/Thermal_26.JPG,double_left,forehead,31.75994897959183,Thermal_26.JPG,double,left
Datasets/ThermEval/single/Thermal_179.JPG,single,forehead,33.10252525252525,Thermal_179.JPG,single,evaluate
Datasets/ThermEval/single/Thermal_157.JPG,single,nose,34.99861111111111,Thermal_157.JPG,single,evaluate
Datasets/ThermEval/single/Thermal_52.JPG,single,forehead,32.64702842377261,Thermal_52.JPG,single,evaluate
Datasets/ThermEval/single/Thermal_3.JPG,single,nose,33.175714285714285,Thermal_3.JPG,single,evaluate
Datasets/ThermEval/single/Thermal_49.JPG,single,chest,29.001338815095927,Thermal_49.JPG,single,evaluate
Datasets/ThermEval/single/Thermal_39.JPG,single,chest,33.91738095238095,Thermal_39.JPG,single,evaluate
Datasets/ThermEval/single/Thermal_156.JPG,single,nose,34.873333333333335,Thermal_156.JPG,single,evaluate
Datasets/ThermEval/double/Thermal_26.JPG,double_left,chest,32.89197994987468,Thermal_26.JPG,double,left
Datasets/ThermEval/double/Thermal_105.JPG,double_right,nose,34.36181818181818,Thermal_105.JPG,double,right
Datasets/ThermEval/double/Thermal_47.JPG,double_left,forehead,32.355555555555554,Thermal_47.JPG,double,left
Datasets/ThermEval/single/Thermal_4.JPG,single,chest,30.318122097632795,Thermal_4.JPG,single,evaluate
Datasets/ThermEval/single/Thermal_37.JPG,single,chest,34.554707792207786,Thermal_37.JPG,single,evaluate
Datasets/ThermEval/double/Thermal_85.JPG,double_left,forehead,28.26086956521739,Thermal_85.JPG,double,left
Datasets/ThermEval/single/Thermal_15.JPG,single,forehead,31.05497076023392,Thermal_15.JPG,single,evaluate
Datasets/ThermEval/double/Thermal_223.JPG,double_left,forehead,32.817241379310346,Thermal_223.JPG,double,left
Datasets/ThermEval/single/Thermal_43.JPG,single,chest,33.84767801857585,Thermal_43.JPG,single,evaluate
Datasets/ThermEval/double/Thermal_35.JPG,double_right,chest,33.28952173913044,Thermal_35.JPG,double,right
Datasets/ThermEval/double/Thermal_219.JPG,double_left,chest,31.64189500640204,Thermal_219.JPG,double,left
Datasets/ThermEval/single/Thermal_170.JPG,single,chest,30.895163584637267,Thermal_170.JPG,single,evaluate
Datasets/ThermEval/double/Thermal_21.JPG,double_right,chest,33.83851095993953,Thermal_21.JPG,double,right
Datasets/ThermEval/single/Thermal_112.JPG,single,chest,30.69957118353345,Thermal_112.JPG,single,evaluate
Datasets/ThermEval/single/Thermal_187.JPG,single,nose,33.375,Thermal_187.JPG,single,evaluate
Datasets/ThermEval/double/Thermal_30.JPG,double_left,forehead,33.57058823529412,Thermal_30.JPG,double,left
Datasets/ThermEval/single/Thermal_74.JPG,single,forehead,31.7078870496592,Thermal_74.JPG,single,evaluate
Datasets/ThermEval/double/Thermal_17.JPG,double_left,forehead,31.15972222222222,Thermal_17.JPG,double,left
Datasets/ThermEval/double/Thermal_103.JPG,double_left,chest,31.826849894291755,Thermal_103.JPG,double,left
Datasets/ThermEval/double/Thermal_6.JPG,double_left,nose,30.639285714285712,Thermal_6.JPG,double,left
Datasets/ThermEval/single/Thermal_92.JPG,single,chest,33.50615341908023,Thermal_92.JPG,single,evaluate
Datasets/ThermEval/single/Thermal_92.JPG,single,nose,36.01,Thermal_92.JPG,single,evaluate
Datasets/ThermEval/single/Thermal_215.JPG,single,nose,29.69714285714286,Thermal_215.JPG,single,evaluate
Datasets/ThermEval/double/Thermal_23.JPG,double_right,forehead,32.031666666666666,Thermal_23.JPG,double,right
Datasets/ThermEval/single/Thermal_193.JPG,single,chest,29.22587412587412,Thermal_193.JPG,single,evaluate
Datasets/ThermEval/double/Thermal_140.JPG,double_right,nose,35.598214285714285,Thermal_140.JPG,double,right
Datasets/ThermEval/single/Thermal_83.JPG,single,chest,28.96937869822485,Thermal_83.JPG,single,evaluate
Datasets/ThermEval/single/Thermal_92.JPG,single,forehead,35.39142857142857,Thermal_92.JPG,single,evaluate
Datasets/ThermEval/double/Thermal_7.JPG,double_right,chest,28.66730263157895,Thermal_7.JPG,double,right
Datasets/ThermEval/double/Thermal_21.JPG,double_right,forehead,35.55466666666667,Thermal_21.JPG,double,right
Datasets/ThermEval/double/Thermal_104.JPG,double_left,chest,32.186331901181525,Thermal_104.JPG,double,left
Datasets/ThermEval/single/Thermal_180.JPG,single,chest,32.48236533957845,Thermal_180.JPG,single,evaluate
Datasets/ThermEval/double/Thermal_130.JPG,double_left,nose,32.542857142857144,Thermal_130.JPG,double,left
